delta3,k_RR,k_RR_times_delta3
5.999999999999999778e-02,1.525202704860714498e+01,9.151216229164286231e-01
7.000000000000000666e-02,1.259727032433239380e+01,8.818089227032676058e-01
8.000000000000000167e-02,1.364761691568756063e+01,1.091809353255004833e+00
8.999999999999999667e-02,1.222063464182419601e+01,1.099857117764177605e+00
1.000000000000000056e-01,1.099197763861197963e+01,1.099197763861198052e+00
