xi,S_hor,S_rad,S_tot,eta_GSL,P_norm
2.653266331658291399e+00,1.477047870878844371e+00,2.801523675681357517e+00,4.278571546560201888e+00,6.523749421297591056e-01,2.582651737485459074e+07
2.713567839195979658e+00,1.528911399779963043e+00,2.795845014840338649e+00,4.324756414620301470e+00,6.549718331419562833e-01,2.582651737485476211e+07
2.773869346733668362e+00,1.419035724237151186e+00,2.772192412236130110e+00,4.191228136473281296e+00,6.411247364698741125e-01,2.582651737485492602e+07
2.834170854271356621e+00,1.481756508882127843e+00,2.726001598840388063e+00,4.207758107722515462e+00,6.420615288051629843e-01,2.582651737485507876e+07
2.894472361809045324e+00,1.655317648758969806e+00,2.730681720693510783e+00,4.385999369452481034e+00,6.518606925526735374e-01,2.582651737485526130e+07
2.954773869346733584e+00,1.407413168806160408e+00,2.753829771757353662e+00,4.161242940563513848e+00,6.301086544164297143e-01,2.582651737485544384e+07
3.015075376884421843e+00,1.557004083741490241e+00,2.799769601934183783e+00,4.356773685675674024e+00,6.405436963481923041e-01,2.582651737485563383e+07
3.075376884422110546e+00,1.459315725437411171e+00,2.763179353943205019e+00,4.222495079380616190e+00,6.283698686729471961e-01,2.582651737485580519e+07
3.135678391959798805e+00,1.509786699835055090e+00,2.728349524091928657e+00,4.238136223926983526e+00,6.291907693793890033e-01,2.582651737485598028e+07
3.195979899497487509e+00,1.594642297074409854e+00,2.696947661314161415e+00,4.291589958388571269e+00,6.319690339114223399e-01,2.582651737485615909e+07
3.256281407035175768e+00,1.466402239083570036e+00,2.802221893181938484e+00,4.268624132265508742e+00,6.299412246186197883e-01,2.582651737485633790e+07
3.316582914572864027e+00,1.581659712681119601e+00,2.811395192492492257e+00,4.393054905173611857e+00,6.362647952489977055e-01,2.582651737485651672e+07
3.376884422110552730e+00,1.424674331791605519e+00,2.793309529151448256e+00,4.217983860943053998e+00,6.213265998289295711e-01,2.582651737485671043e+07
3.437185929648240990e+00,1.492999210769606178e+00,2.768713862613966903e+00,4.261713073383573303e+00,6.235343146468569353e-01,2.582651737485688925e+07
3.497487437185929693e+00,1.447825796594378600e+00,2.682999239496354882e+00,4.130825036090733704e+00,6.128399850170431762e-01,2.582651737485704944e+07
3.557788944723617952e+00,1.496998581772249315e+00,2.647037179281712671e+00,4.144035761053961764e+00,6.135090360532995390e-01,2.582651737485719845e+07
3.618090452261306211e+00,1.671462552338203622e+00,2.761700706438468433e+00,4.433163258776671611e+00,6.275937633187977926e-01,2.582651737485735118e+07
3.678391959798994915e+00,1.312877165879937413e+00,2.918599908305039126e+00,4.231477074184976317e+00,6.120351036237909881e-01,2.582651737485754862e+07
3.738693467336683174e+00,1.376089140789908072e+00,2.686443037676592205e+00,4.062532178466500277e+00,5.995838686922067007e-01,2.582651737485774606e+07
3.798994974874371877e+00,1.354961663685838147e+00,2.892682088738810720e+00,4.247643752424648866e+00,6.083148232915180920e-01,2.582651737485796213e+07
3.859296482412060136e+00,1.665370553239461149e+00,2.711734443239534720e+00,4.377104996478996313e+00,6.141981194036101321e-01,2.582651737485817075e+07
3.919597989949748396e+00,1.355333043746180799e+00,2.701672384514197223e+00,4.057005428260378466e+00,5.922043104734298069e-01,2.582651737485835701e+07
3.979899497487437099e+00,1.424222589498143510e+00,2.779799940103503175e+00,4.204022529601646241e+00,5.988026220429500945e-01,2.582651737485856935e+07
4.040201005025125802e+00,1.594794298266186683e+00,2.713080934304644032e+00,4.307875232570831159e+00,6.033364231108019338e-01,2.582651737485877052e+07
